video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6839,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377800,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
7521873966944750870,2025-06-30T22:32:43,75,FR,3367,111,162,43900,"Encore une fois, elle l’avait dit… #kamalaharris #election2024 #fyp #america #donaldtrump #foryou #pourtoi #viral #trump #harris ",False,,kamalaeditsfr,kamalaeditsfr,22000,6,403200,109,119,False,,,
7432112271288995102,2024-11-01T01:11:34,6,US,785900,10300,21900,12000000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7528222995811388703,2025-07-18T01:10:23,71,US,39900,457,10800,681200,El gobernandor de California contra el Vice presidente en el 2026 👏🔥,False,Esto estará bueno 👏🇺🇸,carlos_eduardo_espina,Carlos_Eduardo_Espina,13100000,7816,973000000,7404,38100,True,,,
7527514597763370254,2025-07-16T03:21:20,18,US,641200,14600,3390,3000000,k…kamala…..? 😕😕😕😕 #fyp #kamalaharris #trend #kamalaharrisedit #kamalaharris2024🇺🇸💙 #election2024 #trending ,False,,rayesvisuals,ray ⋆˙⟡,1187,33,645300,4,599,False,KMS,"18 Research Dr, Hampton, United States",Hampton
7525491151617510664,2025-07-10T16:29:12,33,KH,784900,93200,3142,3200000,Guyssss it’s July my birthday month AND the month Kamala announced her presidency🙂‍↕️🙂‍↕️#kamalaharris #coconuttree #bigsistergeneral #kamala #kamalaharrisedit #kamalahq ,False,,lilcocountgeneral,doritos🎀,13000,269,2300000,143,6696,False,,,
7521117824824151318,2025-06-28T21:38:28,89,NL,8096,341,167,31100,Maya has the bravest ‘big sister’(general😙) || #kamalaharris #vicepresidentharris #presidentharris #harris #sisters #mayaharris #meenaharris #familyy #foryoupageofficial #fyp #dontletthisflop #foryoupagethis #viralvideos #trendingviralvideo #goviral ,False,"She deserves sm better than those threats.;The way she protected 
Maya and Meena since they were born 🥹",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7430643597130747166,2024-10-28T02:12:27,14,US,688800,9991,14500,8800000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17000000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7514979359371939115,2025-06-12T08:38:21,44,US,184800,6830,2811,611000,I still have hopes for her in 2028😭🥺💔@Kamala Harris #kamalaharris2028 #kamala #💙💙#makeamerciagreatagain🇺🇸 ,False,Maybe in another universe Kamala Harris won the election,aydenhilfiger,AydenHilfiger,740,716,209400,27,9995,False,,,
7514659943333711150,2025-06-11T11:58:50,23,US,1700000,114300,4280,7000000,#edit #edits #tiktok #donaldtrump #trump #usa #unitedstates #us #usatok #kamalaharris #conservative #republican #liberal #blue #red #elections #fy #fyp #foryoupage #viral #foryou #fypシ #fypシ゚viral #xcyzba #harris #joebiden #joe #biden #kamala #donald #orangeman #orangehair #coconuttree #coconut AN EDIT OF THE ICONIC “SO DO I” QUEEN (@Joemama) @Fox News ,False,,majesticeditsx,majesticedits,3300,2,1700000,1,7,False,,,
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6839,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377800,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
7521873966944750870,2025-06-30T22:32:43,75,FR,3367,111,162,43900,"Encore une fois, elle l’avait dit… #kamalaharris #election2024 #fyp #america #donaldtrump #foryou #pourtoi #viral #trump #harris ",False,,kamalaeditsfr,kamalaeditsfr,22000,6,403200,109,119,False,,,
7432112271288995102,2024-11-01T01:11:34,6,US,785900,10300,21900,12000000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7528222995811388703,2025-07-18T01:10:23,71,US,39900,457,10800,681200,El gobernandor de California contra el Vice presidente en el 2026 👏🔥,False,Esto estará bueno 👏🇺🇸,carlos_eduardo_espina,Carlos_Eduardo_Espina,13100000,7816,973000000,7404,38100,True,,,
7527514597763370254,2025-07-16T03:21:20,18,US,641200,14600,3390,3000000,k…kamala…..? 😕😕😕😕 #fyp #kamalaharris #trend #kamalaharrisedit #kamalaharris2024🇺🇸💙 #election2024 #trending ,False,,rayesvisuals,ray ⋆˙⟡,1187,33,645300,4,599,False,KMS,"18 Research Dr, Hampton, United States",Hampton
7525491151617510664,2025-07-10T16:29:12,33,KH,784900,93200,3142,3200000,Guyssss it’s July my birthday month AND the month Kamala announced her presidency🙂‍↕️🙂‍↕️#kamalaharris #coconuttree #bigsistergeneral #kamala #kamalaharrisedit #kamalahq ,False,,lilcocountgeneral,doritos🎀,13000,269,2300000,143,6696,False,,,
7521117824824151318,2025-06-28T21:38:28,89,NL,8096,341,167,31100,Maya has the bravest ‘big sister’(general😙) || #kamalaharris #vicepresidentharris #presidentharris #harris #sisters #mayaharris #meenaharris #familyy #foryoupageofficial #fyp #dontletthisflop #foryoupagethis #viralvideos #trendingviralvideo #goviral ,False,"She deserves sm better than those threats.;The way she protected 
Maya and Meena since they were born 🥹",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7430643597130747166,2024-10-28T02:12:27,14,US,688800,9991,14500,8800000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17000000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7514979359371939115,2025-06-12T08:38:21,44,US,184800,6830,2811,611000,I still have hopes for her in 2028😭🥺💔@Kamala Harris #kamalaharris2028 #kamala #💙💙#makeamerciagreatagain🇺🇸 ,False,Maybe in another universe Kamala Harris won the election,aydenhilfiger,AydenHilfiger,740,716,209400,27,9995,False,,,
7514659943333711150,2025-06-11T11:58:50,23,US,1700000,114300,4280,7000000,#edit #edits #tiktok #donaldtrump #trump #usa #unitedstates #us #usatok #kamalaharris #conservative #republican #liberal #blue #red #elections #fy #fyp #foryoupage #viral #foryou #fypシ #fypシ゚viral #xcyzba #harris #joebiden #joe #biden #kamala #donald #orangeman #orangehair #coconuttree #coconut AN EDIT OF THE ICONIC “SO DO I” QUEEN (@Joemama) @Fox News ,False,,majesticeditsx,majesticedits,3300,2,1700000,1,7,False,,,
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6839,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377800,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
7521873966944750870,2025-06-30T22:32:43,75,FR,3367,111,162,43900,"Encore une fois, elle l’avait dit… #kamalaharris #election2024 #fyp #america #donaldtrump #foryou #pourtoi #viral #trump #harris ",False,,kamalaeditsfr,kamalaeditsfr,22000,6,403200,109,119,False,,,
7432112271288995102,2024-11-01T01:11:34,6,US,785900,10300,21900,12000000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7528222995811388703,2025-07-18T01:10:23,71,US,39900,457,10800,681200,El gobernandor de California contra el Vice presidente en el 2026 👏🔥,False,Esto estará bueno 👏🇺🇸,carlos_eduardo_espina,Carlos_Eduardo_Espina,13100000,7816,973000000,7404,38100,True,,,
7527514597763370254,2025-07-16T03:21:20,18,US,641200,14600,3390,3000000,k…kamala…..? 😕😕😕😕 #fyp #kamalaharris #trend #kamalaharrisedit #kamalaharris2024🇺🇸💙 #election2024 #trending ,False,,rayesvisuals,ray ⋆˙⟡,1187,33,645300,4,599,False,KMS,"18 Research Dr, Hampton, United States",Hampton
7525491151617510664,2025-07-10T16:29:12,33,KH,784900,93200,3142,3200000,Guyssss it’s July my birthday month AND the month Kamala announced her presidency🙂‍↕️🙂‍↕️#kamalaharris #coconuttree #bigsistergeneral #kamala #kamalaharrisedit #kamalahq ,False,,lilcocountgeneral,doritos🎀,13000,269,2300000,143,6696,False,,,
7521117824824151318,2025-06-28T21:38:28,89,NL,8096,341,167,31100,Maya has the bravest ‘big sister’(general😙) || #kamalaharris #vicepresidentharris #presidentharris #harris #sisters #mayaharris #meenaharris #familyy #foryoupageofficial #fyp #dontletthisflop #foryoupagethis #viralvideos #trendingviralvideo #goviral ,False,"She deserves sm better than those threats.;The way she protected 
Maya and Meena since they were born 🥹",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7430643597130747166,2024-10-28T02:12:27,14,US,688800,9991,14500,8800000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17000000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7514979359371939115,2025-06-12T08:38:21,44,US,184800,6830,2811,611000,I still have hopes for her in 2028😭🥺💔@Kamala Harris #kamalaharris2028 #kamala #💙💙#makeamerciagreatagain🇺🇸 ,False,Maybe in another universe Kamala Harris won the election,aydenhilfiger,AydenHilfiger,740,716,209400,27,9995,False,,,
7514659943333711150,2025-06-11T11:58:50,23,US,1700000,114300,4280,7000000,#edit #edits #tiktok #donaldtrump #trump #usa #unitedstates #us #usatok #kamalaharris #conservative #republican #liberal #blue #red #elections #fy #fyp #foryoupage #viral #foryou #fypシ #fypシ゚viral #xcyzba #harris #joebiden #joe #biden #kamala #donald #orangeman #orangehair #coconuttree #coconut AN EDIT OF THE ICONIC “SO DO I” QUEEN (@Joemama) @Fox News ,False,,majesticeditsx,majesticedits,3300,2,1700000,1,7,False,,,
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6840,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377800,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
7521873966944750870,2025-06-30T22:32:43,75,FR,3367,111,162,43900,"Encore une fois, elle l’avait dit… #kamalaharris #election2024 #fyp #america #donaldtrump #foryou #pourtoi #viral #trump #harris ",False,,kamalaeditsfr,kamalaeditsfr,22000,6,403300,109,119,False,,,
7432112271288995102,2024-11-01T01:11:34,6,US,785900,10300,21900,12000000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7528222995811388703,2025-07-18T01:10:23,71,US,39900,457,10800,681200,El gobernandor de California contra el Vice presidente en el 2026 👏🔥,False,Esto estará bueno 👏🇺🇸,carlos_eduardo_espina,Carlos_Eduardo_Espina,13100000,7816,973000000,7404,38100,True,,,
7527514597763370254,2025-07-16T03:21:20,18,US,641200,14600,3390,3000000,k…kamala…..? 😕😕😕😕 #fyp #kamalaharris #trend #kamalaharrisedit #kamalaharris2024🇺🇸💙 #election2024 #trending ,False,,rayesvisuals,ray ⋆˙⟡,1187,33,645300,4,599,False,KMS,"18 Research Dr, Hampton, United States",Hampton
7525491151617510664,2025-07-10T16:29:12,33,KH,784900,93200,3142,3200000,Guyssss it’s July my birthday month AND the month Kamala announced her presidency🙂‍↕️🙂‍↕️#kamalaharris #coconuttree #bigsistergeneral #kamala #kamalaharrisedit #kamalahq ,False,,lilcocountgeneral,doritos🎀,13000,269,2300000,143,6696,False,,,
7521117824824151318,2025-06-28T21:38:28,89,NL,8096,341,167,31100,Maya has the bravest ‘big sister’(general😙) || #kamalaharris #vicepresidentharris #presidentharris #harris #sisters #mayaharris #meenaharris #familyy #foryoupageofficial #fyp #dontletthisflop #foryoupagethis #viralvideos #trendingviralvideo #goviral ,False,"She deserves sm better than those threats.;The way she protected 
Maya and Meena since they were born 🥹",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7430643597130747166,2024-10-28T02:12:27,14,US,688800,9991,14500,8800000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17000000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7514979359371939115,2025-06-12T08:38:21,44,US,184800,6830,2811,611000,I still have hopes for her in 2028😭🥺💔@Kamala Harris #kamalaharris2028 #kamala #💙💙#makeamerciagreatagain🇺🇸 ,False,Maybe in another universe Kamala Harris won the election,aydenhilfiger,AydenHilfiger,740,716,209400,27,9995,False,,,
7514659943333711150,2025-06-11T11:58:50,23,US,1700000,114300,4280,7000000,#edit #edits #tiktok #donaldtrump #trump #usa #unitedstates #us #usatok #kamalaharris #conservative #republican #liberal #blue #red #elections #fy #fyp #foryoupage #viral #foryou #fypシ #fypシ゚viral #xcyzba #harris #joebiden #joe #biden #kamala #donald #orangeman #orangehair #coconuttree #coconut AN EDIT OF THE ICONIC “SO DO I” QUEEN (@Joemama) @Fox News ,False,,majesticeditsx,majesticedits,3300,2,1700000,1,7,False,,,
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6840,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377800,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
7521873966944750870,2025-06-30T22:32:43,75,FR,3367,111,162,43900,"Encore une fois, elle l’avait dit… #kamalaharris #election2024 #fyp #america #donaldtrump #foryou #pourtoi #viral #trump #harris ",False,,kamalaeditsfr,kamalaeditsfr,22000,6,403300,109,119,False,,,
7432112271288995102,2024-11-01T01:11:34,6,US,785900,10300,21900,12000000,@Mark Cuban ,False,"STRONG INTELLIGENT
WOMEN",realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7528222995811388703,2025-07-18T01:10:23,71,US,39900,457,10800,681200,El gobernandor de California contra el Vice presidente en el 2026 👏🔥,False,Esto estará bueno 👏🇺🇸,carlos_eduardo_espina,Carlos_Eduardo_Espina,13100000,7816,973000000,7404,38100,True,,,
7527514597763370254,2025-07-16T03:21:20,18,US,641200,14600,3390,3000000,k…kamala…..? 😕😕😕😕 #fyp #kamalaharris #trend #kamalaharrisedit #kamalaharris2024🇺🇸💙 #election2024 #trending ,False,,rayesvisuals,ray ⋆˙⟡,1187,33,645300,4,599,False,KMS,"18 Research Dr, Hampton, United States",Hampton
7525491151617510664,2025-07-10T16:29:12,33,KH,784900,93200,3142,3200000,Guyssss it’s July my birthday month AND the month Kamala announced her presidency🙂‍↕️🙂‍↕️#kamalaharris #coconuttree #bigsistergeneral #kamala #kamalaharrisedit #kamalahq ,False,,lilcocountgeneral,doritos🎀,13000,269,2300000,143,6696,False,,,
7521117824824151318,2025-06-28T21:38:28,89,NL,8096,341,167,31100,Maya has the bravest ‘big sister’(general😙) || #kamalaharris #vicepresidentharris #presidentharris #harris #sisters #mayaharris #meenaharris #familyy #foryoupageofficial #fyp #dontletthisflop #foryoupagethis #viralvideos #trendingviralvideo #goviral ,False,"She deserves sm better than those threats.;The way she protected 
Maya and Meena since they were born 🥹",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7430643597130747166,2024-10-28T02:12:27,14,US,688800,9991,14500,8800000,NEW YORK — I LOVE YOU!,False,MADISON SQUARE GARDEN — NYC,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7429868500140739870,2024-10-26T00:04:42,9,US,1900000,88000,29400,17000000,HELLO WORLD!,False,DJT X JRE,realdonaldtrump,President Donald J Trump,15100000,2,109900000,58,5,True,,,
7514979359371939115,2025-06-12T08:38:21,44,US,184800,6830,2811,611000,I still have hopes for her in 2028😭🥺💔@Kamala Harris #kamalaharris2028 #kamala #💙💙#makeamerciagreatagain🇺🇸 ,False,Maybe in another universe Kamala Harris won the election,aydenhilfiger,AydenHilfiger,740,716,209400,27,9995,False,,,
7514659943333711150,2025-06-11T11:58:50,23,US,1700000,114300,4280,7000000,#edit #edits #tiktok #donaldtrump #trump #usa #unitedstates #us #usatok #kamalaharris #conservative #republican #liberal #blue #red #elections #fy #fyp #foryoupage #viral #foryou #fypシ #fypシ゚viral #xcyzba #harris #joebiden #joe #biden #kamala #donald #orangeman #orangehair #coconuttree #coconut AN EDIT OF THE ICONIC “SO DO I” QUEEN (@Joemama) @Fox News ,False,,majesticeditsx,majesticedits,3300,2,1700000,1,7,False,,,
7517295495430163767,2025-06-18T14:26:42,62,US,87200,5355,1590,389300,🥀 #kamalaharris #donaldtrump #trump #politics #uspolitics #2024election #kamalahq ,False,,jimmy26549,🦅,6840,19,2600000,24,353,False,,,
7513409166397017374,2025-06-08T03:05:11,44,US,363000,14400,1785,1400000,I’ve been seeing flaws every time but I got it now.. I hope! #kamalaharrisedit #Trump #Kamala #hamilton #fyp #theelectionof1800 @Kamala HQ @Kamala Harris ,False,,mike_faist_,Isabella,2218,1683,637800,61,57700,False,,,
7510746425207131434,2025-05-31T22:54:03,8,US,297200,33500,2200,1100000,still at the restaurant #kamalahq #2024elections #bigsistergeneral ,False,,itscitlallic,Citlalli,243,243,301900,20,22400,False,,,
7508877110384086294,2025-05-26T21:58:19,63,NL,7844,133,97,76800,queeenn✋. || #newcontent #kamalaharris #vicepresidentharris #harris #aura #foryoupageofficial #trendingvideos #goviral ,False,"
“Define aura”
*Former vice president Kamala Harris speaking for 60 minutes and people paying 1000 dollar to be there.*",kdharrissupportpage,kdharrissupportpage,66200,18,5800000,182,3208,False,,,
7527843178683059487,2025-07-17T00:36:28,53,US,38800,622,1208,377900,"@President Donald J Trump’s immigration raids are purely driven by instilling fear. He’s terrorizing communities, encouraging reckless decisions based solely on the color of people’s skin, and heartlessly detaining hardworking families just to push his own power-hungry agenda. -- Las redadas migratorias de Trump están motivadas únicamente por el deseo de provocar el miedo. Está aterrorizando a las comunidades, fomentando decisiones irresponsables basadas únicamente en el color de piel de las personas, y deteniendo sin compasión a familias trabajadoras solo para impulsar su propia agenda de poder.",False,"Governor Newsom after 
meeting with businesses
 impacted by ICE raids ",cagovernor,Governor Gavin Newsom,1600000,8,28000000,630,60,True,,,
7522185881705368863,2025-07-01T18:43:24,67,US,83000,3904,2864,406500,BREAKING 07/01,False,"BREAKING: KAMALA HARRIS JUST SLAMMED TRUMP AND HIS BIG
UGLY BILL",harryjsisson,Harry,1900000,492,168300000,4742,21200,True,,,
